"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CRUD test","This will create new booking","SUCCESS","2022-01-11T21:48:01.805Z[Europe/London]","0.0","8.85"
"Booking CRUD test","Verify if the Booking was done correctly","SUCCESS","2022-01-11T21:48:10.716Z[Europe/London]","0.0","1.87"
"Booking CRUD test","Update the Booking and verify the updated information","SUCCESS","2022-01-11T21:48:12.589Z[Europe/London]","0.0","1.36"
"Booking CRUD test","Delete the Booking and verify if the Booking is deleted!","SUCCESS","2022-01-11T21:48:13.952Z[Europe/London]","0.0","1.13"
